dataset,method,num_of_feat,num_of_elems,accuracy,precision,ftp,tpr,f1_score,matrix
glass1.dat,NO SELECTION,9,214,0.7439252336448597,0.8956521739130434,0.28800000000000003,0.7536585365853659,0.8185430463576159,[[61.8  7.2] [20.2 17.8]]
glass1.dat,ANOVA,3,214,0.6224299065420561,0.8579710144927537,0.569767441860465,0.6592427616926503,0.7455919395465995,[[59.2  9.8] [30.6  7.4]]
glass1.dat,RELIEF,3,214,0.7579439252336448,0.889855072463768,0.2783882783882784,0.7703889585947302,0.8258238063214525,[[61.4  7.6] [18.3 19.7]]
glass1.dat,INFORATION GAIN,3,214,0.7514018691588784,0.889855072463768,0.2857142857142857,0.7636815920398009,0.8219544846050869,[[61.4  7.6] [19.  19. ]]
glass1.dat,CHI SQUARE,3,214,0.630841121495327,0.9144927536231884,0.5728155339805825,0.6525336091003102,0.7616173808086903,[[63.1  5.9] [33.6  4.4]]
glass1.dat,CORRELATION COEF,3,214,0.7467289719626169,0.8855072463768117,0.2958801498127341,0.7608966376089664,0.8184862692565306,[[61.1  7.9] [19.2 18.8]]
glass6.dat,NO SELECTION,9,214,0.9607476635514018,0.9924324324324324,0.05982905982905983,0.9632738719832109,0.9776357827476039,[[91.8  0.7] [ 3.5 11. ]]
glass6.dat,ANOVA,3,214,0.9457943925233646,0.9805405405405405,0.14634146341463414,0.9577613516367476,0.969017094017094,[[90.7  1.8] [ 4.  10.5]]
glass6.dat,RELIEF,3,214,0.9289719626168225,0.9935135135135136,0.07407407407407407,0.9292214357937311,0.9602925809822362,[[91.9  0.6] [ 7.   7.5]]
glass6.dat,INFORATION GAIN,3,214,0.9710280373831776,0.9935135135135136,0.047619047619047616,0.9735169491525424,0.9834135901551633,[[91.9  0.6] [ 2.5 12. ]]
glass6.dat,CHI SQUARE,3,214,0.946728971962617,0.9762162162162162,0.16666666666666669,0.9626865671641791,0.9694041867954911,[[90.3  2.2] [ 3.5 11. ]]
glass6.dat,CORRELATION COEF,3,214,0.9299065420560748,1.0,0.0,0.925,0.961038961038961,[[92.5  0. ] [ 7.5  7. ]]
new-thyroid1.dat,NO SELECTION,5,215,0.9208982346832816,1.0,0.0,0.9137055837563451,0.9549071618037135,[[90.   0. ] [ 8.5  9. ]]
new-thyroid1.dat,ANOVA,3,215,0.9199636552440292,1.0,0.0,0.9127789046653144,0.9544008483563096,[[90.   0. ] [ 8.6  8.9]]
new-thyroid1.dat,RELIEF,3,215,0.9404811353409486,0.9844444444444443,0.10071942446043164,0.9465811965811965,0.9651416122004357,[[88.6  1.4] [ 5.  12.5]]
new-thyroid1.dat,INFORATION GAIN,3,215,0.9637331256490136,0.9933333333333334,0.04054054054054054,0.9644012944983819,0.9786535303776683,[[89.4  0.6] [ 3.3 14.2]]
new-thyroid1.dat,CHI SQUARE,3,215,0.9442540671512635,0.9977777777777778,0.016806722689075633,0.9393305439330544,0.9676724137931034,[[89.8  0.2] [ 5.8 11.7]]
new-thyroid1.dat,CORRELATION COEF,3,215,0.9637331256490136,0.9933333333333334,0.04054054054054054,0.9644012944983819,0.9786535303776683,[[89.4  0.6] [ 3.3 14.2]]
newthyroid2.dat,NO SELECTION,5,215,0.9227847005884389,1.0,0.0,0.9155645981688708,0.9559214020180563,[[90.   0. ] [ 8.3  9.2]]
newthyroid2.dat,ANOVA,3,215,0.9218587746625129,1.0,0.0,0.9146341463414633,0.9554140127388535,[[90.   0. ] [ 8.4  9.1]]
newthyroid2.dat,RELIEF,3,215,0.9404638283142954,0.9866666666666666,0.08888888888888889,0.9446808510638297,0.9652173913043477,[[88.8  1.2] [ 5.2 12.3]]
newthyroid2.dat,INFORATION GAIN,3,215,0.9618206992038768,0.9888888888888889,0.06493506493506493,0.966340933767644,0.9774848984074685,[[89.   1. ] [ 3.1 14.4]]
newthyroid2.dat,CHI SQUARE,3,215,0.941355140186916,0.9988888888888889,0.008771929824561403,0.9354838709677419,0.9661472326706072,[[89.9  0.1] [ 6.2 11.3]]
newthyroid2.dat,CORRELATION COEF,3,215,0.9618206992038768,0.9888888888888889,0.06493506493506493,0.966340933767644,0.9774848984074685,[[89.   1. ] [ 3.1 14.4]]
page-blocks0.dat,NO SELECTION,10,5472,0.9495248538011696,0.9908406269082027,0.12070815450643776,0.9546595544399121,0.9724136553404846,[[2434.    22.5] [ 115.6  163.9]]
page-blocks0.dat,ANOVA,3,5472,0.9492690058479532,0.9792794626501119,0.20989690721649484,0.9647483456988168,0.9719595959595958,[[2405.6   50.9] [  87.9  191.6]]
page-blocks0.dat,RELIEF,3,5472,0.9260233918128653,0.980785670669652,0.2752186588921283,0.9394813803860402,0.9596893049193388,[[2409.3   47.2] [ 155.2  124.3]]
page-blocks0.dat,INFORATION GAIN,3,5472,0.9577485380116959,0.9856706696519439,0.15023474178403756,0.9678618539393212,0.9766850873300796,[[2421.3   35.2] [  80.4  199.1]]
page-blocks0.dat,CHI SQUARE,3,5472,0.9459795321637428,0.9903114186851211,0.1327384272169548,0.9514999804435404,0.9705178329210883,[[2432.7   23.8] [ 124.   155.5]]
page-blocks0.dat,CORRELATION COEF,3,5472,0.9260233918128653,0.980785670669652,0.2752186588921283,0.9394813803860402,0.9596893049193388,[[2409.3   47.2] [ 155.2  124.3]]
pima.dat,NO SELECTION,8,768,0.7302083333333333,0.8936000000000001,0.31818181818181823,0.7436750998668443,0.8117732558139537,[[223.4  26.6] [ 77.   57. ]]
pima.dat,ANOVA,3,768,0.7479166666666668,0.866,0.32149712092130517,0.7737669764117227,0.817289543223858,[[216.5  33.5] [ 63.3  70.7]]
pima.dat,RELIEF,3,768,0.6882812500000001,0.8488,0.4204671857619577,0.7215232913974837,0.7800036757948906,[[212.2  37.8] [ 81.9  52.1]]
pima.dat,INFORATION GAIN,3,768,0.7479166666666668,0.866,0.32149712092130517,0.7737669764117227,0.817289543223858,[[216.5  33.5] [ 63.3  70.7]]
pima.dat,CHI SQUARE,3,768,0.7322916666666667,0.8664,0.3408163265306122,0.7573426573426574,0.8082089552238806,[[216.6  33.4] [ 69.4  64.6]]
pima.dat,CORRELATION COEF,3,768,0.6825520833333333,0.8592000000000001,0.4266666666666667,0.7124378109452737,0.7789664551223936,[[214.8  35.2] [ 86.7  47.3]]
segment0.dat,NO SELECTION,19,2308,0.9629982668977469,0.9838302172814553,0.10403120936280884,0.9733053389322135,0.9785394783133134,[[973.5  16. ] [ 26.7 137.8]]
segment0.dat,ANOVA,3,2308,0.9916811091854421,0.9943405760485093,0.03371462974111981,0.9959510071869623,0.9951451400829373,[[983.9   5.6] [  4.  160.5]]
segment0.dat,RELIEF,3,2308,0.8837088388214905,0.9850429509853462,0.24707846410684473,0.8908692075678639,0.9355922441927433,[[974.7  14.8] [119.4  45.1]]
segment0.dat,INFORATION GAIN,3,2308,0.9848353552859619,0.990601313794846,0.05615942028985507,0.9917037636584378,0.9911522321654279,[[980.2   9.3] [  8.2 156.3]]
segment0.dat,CHI SQUARE,3,2308,0.9428942807625651,0.9563415866599292,0.23351351351351352,0.9765737874097007,0.9663517998468215,[[946.3  43.2] [ 22.7 141.8]]
segment0.dat,CORRELATION COEF,3,2308,0.9922876949740035,0.9953511874684183,0.027912621359223302,0.9956530529720987,0.9955020973366352,[[984.9   4.6] [  4.3 160.2]]
vehicle0.dat,NO SELECTION,18,846,0.9089834515366431,0.9548686244204018,0.16186252771618628,0.9281850961538463,0.9413378028340698,[[308.9  14.6] [ 23.9  75.6]]
vehicle0.dat,ANOVA,3,846,0.8302600472813237,0.9063369397217929,0.3431483578708947,0.8760083657006275,0.8909146156183531,[[293.2  30.3] [ 41.5  58. ]]
vehicle0.dat,RELIEF,3,846,0.8257683215130024,0.9582689335394127,0.2556818181818182,0.8373851971907077,0.8937581086925184,[[310.   13.5] [ 60.2  39.3]]
vehicle0.dat,INFORATION GAIN,3,846,0.8302600472813237,0.9063369397217929,0.3431483578708947,0.8760083657006275,0.8909146156183531,[[293.2  30.3] [ 41.5  58. ]]
vehicle0.dat,CHI SQUARE,3,846,0.8356973995271867,0.908191653786708,0.3322147651006711,0.8806954436450839,0.8942322325369046,[[293.8  29.7] [ 39.8  59.7]]
vehicle0.dat,CORRELATION COEF,3,846,0.8144208037825058,0.8982998454404947,0.3790322580645161,0.8643664485425342,0.8810065181142944,[[290.6  32.9] [ 45.6  53.9]]
vehicle1.dat,NO SELECTION,18,846,0.7560283687943262,0.9151033386327504,0.45485519591141393,0.7900082349711776,0.8479670005892752,[[287.8  26.7] [ 76.5  32. ]]
vehicle1.dat,ANOVA,3,846,0.7713947990543735,0.9500794912559619,0.3634259259259259,0.7867298578199052,0.8607230303903213,[[298.8  15.7] [ 81.   27.5]]
vehicle1.dat,RELIEF,3,846,0.7631205673758864,0.9252782193958664,0.42495479204339964,0.7914060375305956,0.853122251539138,[[291.   23.5] [ 76.7  31.8]]
vehicle1.dat,INFORATION GAIN,3,846,0.7465721040189125,0.9103338632750397,0.48873483535528595,0.7837393922803175,0.8423065607531627,[[286.3  28.2] [ 79.   29.5]]
vehicle1.dat,CHI SQUARE,3,846,0.7302600472813239,0.9262321144674086,0.5686274509803921,0.7621664050235478,0.8362279316779102,[[291.3  23.2] [ 90.9  17.6]]
vehicle1.dat,CORRELATION COEF,3,846,0.7323877068557919,0.921462639109698,0.552572706935123,0.7660586835844568,0.8366050808314088,[[289.8  24.7] [ 88.5  20. ]]
vehicle2.dat,NO SELECTION,18,846,0.8664302600472814,0.952547770700637,0.18104495747266097,0.8778984443792192,0.913700931724454,[[299.1  14.9] [ 41.6  67.4]]
vehicle2.dat,ANOVA,3,846,0.8702127659574469,0.9477707006369428,0.18872266973532795,0.885450758702767,0.9155514536225197,[[297.6  16.4] [ 38.5  70.5]]
vehicle2.dat,RELIEF,3,846,0.8860520094562648,0.9821656050955413,0.07777777777777778,0.8786324786324786,0.9275187969924812,[[308.4   5.6] [ 42.6  66.4]]
vehicle2.dat,INFORATION GAIN,3,846,0.8094562647754137,0.9315286624203821,0.3011204481792717,0.8319112627986348,0.8789062499999999,[[292.5  21.5] [ 59.1  49.9]]
vehicle2.dat,CHI SQUARE,3,846,0.7789598108747046,0.9226114649681528,0.3790951638065523,0.8071886319309,0.8610491900728192,[[289.7  24.3] [ 69.2  39.8]]
vehicle2.dat,CORRELATION COEF,3,846,0.8063829787234041,0.9270700636942676,0.31412894375857336,0.8314767209368752,0.876675199518145,[[291.1  22.9] [ 59.   50. ]]
vehicle3.dat,NO SELECTION,18,846,0.7624113475177305,0.9697160883280757,0.38866396761133604,0.7717800652774292,0.8594995106948133,[[307.4   9.6] [ 90.9  15.1]]
vehicle3.dat,ANOVA,3,846,0.7446808510638296,0.9318611987381703,0.5242718446601942,0.7737035096909377,0.8454493417286777,[[295.4  21.6] [ 86.4  19.6]]
vehicle3.dat,RELIEF,3,846,0.7784869976359337,0.9634069400630915,0.3267605633802817,0.7881290322580644,0.866997870830376,[[305.4  11.6] [ 82.1  23.9]]
vehicle3.dat,INFORATION GAIN,3,846,0.7591016548463356,0.9558359621451105,0.43613707165109034,0.775134305448964,0.8560531148467297,[[303.   14. ] [ 87.9  18.1]]
vehicle3.dat,CHI SQUARE,3,846,0.7472813238770686,0.9406940063091482,0.5122615803814714,0.7719389075847787,0.8480022749893359,[[298.2  18.8] [ 88.1  17.9]]
vehicle3.dat,CORRELATION COEF,3,846,0.7513002364066194,0.9495268138801262,0.48780487804878053,0.7713992824192721,0.8512443438914028,[[301.   16. ] [ 89.2  16.8]]
wisconsin.dat,NO SELECTION,9,683,0.9631055889969303,0.9783783783783784,0.041201716738197426,0.9653333333333333,0.9718120805369126,[[217.2   4.8] [  7.8 111.7]]
wisconsin.dat,ANOVA,3,683,0.9552005625010718,0.9711711711711711,0.0547008547008547,0.9603563474387528,0.9657334826427771,[[215.6   6.4] [  8.9 110.6]]
wisconsin.dat,RELIEF,3,683,0.9300149199979421,0.9509009009009008,0.09284497444633731,0.9419901829540384,0.9464245684824031,[[211.1  10.9] [ 13.  106.5]]
wisconsin.dat,INFORATION GAIN,3,683,0.9552005625010718,0.9711711711711711,0.0547008547008547,0.9603563474387528,0.9657334826427771,[[215.6   6.4] [  8.9 110.6]]
wisconsin.dat,CHI SQUARE,3,683,0.9546140522371422,0.9707207207207207,0.05555555555555555,0.9599109131403119,0.9652855543113102,[[215.5   6.5] [  9.  110.5]]
wisconsin.dat,CORRELATION COEF,3,683,0.9563718680866391,0.9635135135135136,0.06705298013245033,0.9691889442682374,0.9663428958662751,[[213.9   8.1] [  6.8 112.7]]
yeast1.dat,NO SELECTION,8,1484,0.7570080862533693,0.9218957345971565,0.35334476843910806,0.7775823472977295,0.8436117616445484,[[486.3  41.2] [139.1  75.4]]
yeast1.dat,ANOVA,3,1484,0.7357142857142858,0.9215165876777252,0.4090909090909091,0.7585830212234708,0.8321492767268681,[[486.1  41.4] [154.7  59.8]]
yeast1.dat,RELIEF,3,1484,0.7250673854447439,0.9165876777251185,0.4467005076142132,0.7513597513597513,0.8257899231426132,[[483.5  44. ] [160.   54.5]]
yeast1.dat,INFORATION GAIN,3,1484,0.7518867924528303,0.91260663507109,0.37601957585644374,0.7772037455602195,0.8394803383032521,[[481.4  46.1] [138.   76.5]]
yeast1.dat,CHI SQUARE,3,1484,0.7237196765498652,0.9048341232227488,0.456778889899909,0.7551020408163265,0.8232149016902379,[[477.3  50.2] [154.8  59.7]]
yeast1.dat,CORRELATION COEF,3,1484,0.7128032345013476,0.9292890995260663,0.4907894736842105,0.7360360360360361,0.8214495182237118,[[490.2  37.3] [175.8  38.7]]
yeast3.dat,NO SELECTION,8,1484,0.9442048517520215,0.988342165026495,0.13873873873873874,0.950910415149308,0.9692650334075722,[[652.8   7.7] [ 33.7  47.8]]
yeast3.dat,ANOVA,3,1484,0.9509433962264151,0.9827403482210447,0.16789396170839468,0.9629135143153835,0.9727259103851342,[[649.1  11.4] [ 25.   56.5]]
yeast3.dat,RELIEF,3,1484,0.8901617250673854,1.0,nan,0.8901617250673854,0.9418894830659537,[[660.5   0. ] [ 81.5   0. ]]
yeast3.dat,INFORATION GAIN,3,1484,0.9506738544474395,0.981680545041635,0.17510853835021709,0.9635904294843216,0.9725513724313783,[[648.4  12.1] [ 24.5  57. ]]
yeast3.dat,CHI SQUARE,3,1484,0.95,0.9797123391370175,0.18820224719101122,0.9646690518783542,0.9721325020656503,[[647.1  13.4] [ 23.7  57.8]]
yeast3.dat,CORRELATION COEF,3,1484,0.9367924528301887,0.9806207418622257,0.21262458471760798,0.9499853329422118,0.9650599716903823,[[647.7  12.8] [ 34.1  47.4]]
